Time_ISO,X_deg,Y_deg,Z_deg,Temp_C,RSSI_dBm,SNR_dB,Freq_MHz,FCNT
2025-11-05T09:49:25.000Z,0.006,0.007,-0.007,18.899,-105,-15.5,867.3,1
2025-11-05T09:50:05.000Z,0.001,-0.001,-0.001,18.889,-104,-18.8,868.3,1
2025-11-05T09:50:44.000Z,-0.001,-0.001,0.0,18.893,-104,-19.2,867.9,2
2025-11-05T09:51:29.000Z,0.01,-0.001,-0.001,18.979,-105,-19.2,867.9,1
2025-11-05T09:52:08.000Z,-4.819,0.069,-3.434,18.975,-103,-9.5,867.3,2
2025-11-05T09:52:32.000Z,-0.055,0.024,0.025,19.185,-105,-5.5,867.1,1
2025-11-05T09:53:19.000Z,-0.104,0.048,0.055,19.25,-104,-4.0,868.3,2
2025-11-05T09:54:19.000Z,-0.101,0.049,0.054,19.344,-103,-5.2,868.5,3
2025-11-05T09:55:19.000Z,-0.112,0.062,0.058,19.459,-103,-5.0,867.7,4
2025-11-05T09:56:18.000Z,-0.13,0.077,0.066,19.58,-103,-5.0,868.1,5
2025-11-05T09:57:18.000Z,-0.153,0.094,0.075,19.691,-104,-5.5,867.5,6
2025-11-05T09:58:18.000Z,-0.182,0.113,0.088,19.798,-103,-4.5,867.7,7
2025-11-05T09:59:18.000Z,-0.213,0.133,0.1,19.895,-103,-5.0,868.5,8
2025-11-05T10:00:18.000Z,-0.241,0.153,0.113,19.981,-104,-4.8,867.3,9
2025-11-05T10:01:18.000Z,-0.261,0.165,0.125,20.052,-103,-5.2,868.1,10
2025-11-05T10:02:18.000Z,-0.296,0.197,0.135,20.13,-103,-4.5,868.3,11
2025-11-05T10:03:14.000Z,-0.02,-0.001,0.01,20.296,-106,-14.8,867.1,1
2025-11-05T10:05:01.000Z,-0.01,-0.002,0.006,20.225,-105,-18.8,868.5,3
2025-11-05T10:06:01.000Z,-0.006,-0.001,0.004,20.167,-106,-14.0,867.7,4
2025-11-05T10:07:01.000Z,-0.003,0.001,0.0,20.099,-106,-15.2,868.1,5
2025-11-05T10:08:01.000Z,-0.001,0.001,-0.001,20.022,-104,-16.8,867.5,6
2025-11-05T10:09:01.000Z,0.001,-0.001,-0.002,19.934,-106,-17.0,867.7,7
2025-11-05T10:11:01.000Z,0.003,-0.002,-0.002,19.768,-104,-19.2,867.3,9
2025-11-05T10:12:01.000Z,0.001,-0.003,-0.002,19.691,-105,-16.8,868.3,10
2025-11-05T10:13:01.000Z,0.002,-0.003,-0.002,19.622,-106,-17.8,868.3,11
2025-11-05T10:14:01.000Z,0.002,-0.001,-0.003,19.569,-106,-20.0,867.9,12
2025-11-05T10:15:01.000Z,0.001,-0.001,-0.005,19.522,-105,-18.2,867.9,13
2025-11-05T10:16:01.000Z,0.002,-0.002,-0.006,19.484,-105,-16.5,867.5,14
2025-11-05T10:17:01.000Z,0.003,-0.0,-0.006,19.453,-106,-17.8,867.5,15
2025-11-05T10:18:01.000Z,0.003,-0.002,-0.006,19.427,-105,-19.0,868.5,16
2025-11-05T10:19:01.000Z,0.005,-0.003,-0.006,19.405,-106,-17.8,867.1,17
2025-11-05T10:20:01.000Z,0.006,-0.004,-0.005,19.382,-105,-18.5,868.1,18
2025-11-05T10:21:01.000Z,0.007,-0.003,-0.006,19.361,-105,-19.0,868.5,19
2025-11-05T10:22:01.000Z,0.009,-0.002,-0.007,19.344,-105,-18.0,867.9,20
2025-11-05T10:23:01.000Z,0.008,-0.001,-0.008,19.333,-104,-19.0,868.1,21
2025-11-05T10:24:01.000Z,0.01,-0.002,-0.009,19.322,-105,-19.8,867.5,22
2025-11-05T10:25:01.000Z,0.009,-0.001,-0.009,19.313,-106,-17.2,867.7,23
2025-11-05T10:26:01.000Z,0.009,-0.001,-0.009,19.307,-105,-17.5,868.5,24
2025-11-05T10:27:01.000Z,0.01,-0.0,-0.012,19.3,-106,-14.2,867.3,25
2025-11-05T10:28:01.000Z,0.01,-0.001,-0.011,19.294,-105,-22.8,868.1,26
2025-11-05T10:29:01.000Z,0.008,0.0,-0.012,19.292,-104,-17.8,868.3,27
2025-11-05T10:30:00.000Z,0.008,-0.002,-0.01,19.288,-105,-21.0,867.7,28
2025-11-05T10:31:00.000Z,0.008,-0.001,-0.008,19.28,-106,-20.8,867.9,29
2025-11-05T10:32:00.000Z,0.006,-0.0,-0.008,19.275,-105,-19.5,867.5,30
2025-11-05T10:33:00.000Z,0.007,-0.002,-0.008,19.275,-105,-18.0,867.7,31
2025-11-05T10:34:00.000Z,0.009,-0.003,-0.008,19.271,-107,-17.0,867.1,32
2025-11-05T10:35:00.000Z,0.007,-0.002,-0.007,19.27,-106,-17.0,867.3,33
2025-11-05T10:36:00.000Z,0.007,-0.002,-0.006,19.27,-102,-21.5,868.1,34
2025-11-05T10:37:00.000Z,0.008,-0.002,-0.005,19.268,-105,-16.8,868.5,35
2025-11-05T10:38:00.000Z,0.007,-0.001,-0.007,19.262,-105,-17.0,867.7,36
2025-11-05T10:39:00.000Z,0.007,-0.001,-0.006,19.256,-106,-16.5,867.9,37
2025-11-05T10:40:00.000Z,0.007,-0.0,-0.007,19.249,-102,-20.5,867.3,38
2025-11-05T10:41:00.000Z,0.006,-0.002,-0.003,19.245,-106,-18.8,867.5,39
2025-11-05T10:42:00.000Z,0.005,-0.001,-0.004,19.237,-105,-17.8,868.1,40
2025-11-05T10:43:00.000Z,0.005,-0.001,-0.004,19.233,-108,-18.0,867.1,41
2025-11-05T10:44:00.000Z,0.006,-0.001,-0.006,19.228,-105,-18.2,868.3,42
2025-11-05T10:45:00.000Z,0.008,-0.001,-0.007,19.226,-105,-16.0,868.5,43
2025-11-05T10:46:00.000Z,0.01,0.001,-0.009,19.225,-106,-18.5,867.9,44
2025-11-05T10:47:00.000Z,0.01,0.001,-0.01,19.224,-105,-17.0,868.3,45
2025-11-05T10:48:00.000Z,0.007,0.001,-0.01,19.224,-105,-16.8,867.3,46
2025-11-05T10:49:00.000Z,0.007,-0.0,-0.011,19.22,-106,-15.5,868.1,47
2025-11-05T10:50:00.000Z,0.009,-0.0,-0.012,19.217,-105,-18.0,868.1,48
2025-11-05T10:51:00.000Z,0.008,-0.001,-0.01,19.212,-105,-15.8,867.3,49
2025-11-05T10:52:00.000Z,0.007,-0.0,-0.01,19.207,-105,-16.8,868.1,50
2025-11-05T10:53:00.000Z,0.007,-0.001,-0.009,19.206,-106,-15.2,868.1,51
2025-11-05T10:54:00.000Z,0.009,-0.0,-0.01,19.197,-105,-13.8,867.7,52
2025-11-05T10:55:00.000Z,0.01,-0.002,-0.011,19.191,-106,-15.2,868.1,53
2025-11-05T10:56:00.000Z,0.009,-0.003,-0.009,19.188,-101,-19.2,867.3,54
2025-11-05T10:57:00.000Z,0.008,-0.003,-0.009,19.187,-104,-16.5,868.3,55
2025-11-05T10:58:00.000Z,0.007,-0.001,-0.011,19.192,-104,-17.5,868.5,56
2025-11-05T10:59:00.000Z,0.007,-0.001,-0.01,19.192,-97,-24.8,867.1,57
2025-11-05T11:00:00.000Z,0.006,-0.0,-0.009,19.195,-105,-15.2,868.1,58
2025-11-05T11:01:00.000Z,0.007,0.001,-0.009,19.2,-105,-15.2,868.3,59
2025-11-05T11:02:00.000Z,0.008,-0.002,-0.009,19.203,-106,-14.2,867.9,60
2025-11-05T11:03:00.000Z,0.008,-0.002,-0.008,19.206,-106,-17.5,868.1,61
2025-11-05T11:04:00.000Z,0.008,-0.002,-0.01,19.207,-104,-16.5,868.3,62
2025-11-05T11:05:00.000Z,0.008,-0.001,-0.012,19.208,-105,-15.2,867.7,63
2025-11-05T11:06:00.000Z,0.008,-0.002,-0.012,19.208,-105,-17.0,868.1,64
2025-11-05T11:07:00.000Z,0.009,-0.001,-0.012,19.207,-105,-16.5,867.3,65
2025-11-05T11:08:00.000Z,0.007,-0.001,-0.011,19.207,-105,-17.2,868.3,66
2025-11-05T11:09:00.000Z,0.005,-0.002,-0.01,19.207,-105,-16.5,868.1,67
2025-11-05T11:10:00.000Z,0.006,-0.003,-0.011,19.206,-105,-16.2,867.7,68
2025-11-05T11:11:00.000Z,0.008,-0.001,-0.011,19.206,-105,-16.8,868.1,69
2025-11-05T11:13:00.000Z,0.007,-0.001,-0.009,19.205,-105,-18.2,867.3,70
2025-11-05T11:14:00.000Z,0.007,-0.001,-0.01,19.203,-105,-17.5,868.5,71
2025-11-05T11:15:00.000Z,0.007,-0.0,-0.011,19.199,-104,-16.8,868.3,72
2025-11-05T11:16:00.000Z,0.006,-0.002,-0.012,19.199,-106,-15.0,867.1,73
2025-11-05T11:18:00.000Z,0.009,-0.003,-0.011,19.198,-105,-15.8,868.3,74
2025-11-05T11:19:00.000Z,0.01,-0.002,-0.013,19.196,-105,-15.8,867.5,75
2025-11-05T11:21:00.000Z,0.01,-0.001,-0.016,19.196,-105,-14.5,867.7,76
2025-11-05T11:22:00.000Z,0.011,-0.001,-0.015,19.198,-105,-15.2,868.5,77
2025-11-05T11:24:00.000Z,0.012,-0.002,-0.012,19.196,-105,-15.8,867.5,78
2025-11-05T11:25:00.000Z,0.011,-0.003,-0.011,19.194,-106,-16.0,868.1,79
2025-11-05T11:26:00.000Z,0.013,-0.003,-0.012,19.196,-102,-19.0,868.1,80
2025-11-05T11:27:00.000Z,0.013,-0.002,-0.012,19.198,-106,-15.0,867.1,81
2025-11-05T11:32:00.000Z,0.01,-0.005,-0.011,19.165,-104,-22.0,867.7,84
2025-11-05T11:36:00.000Z,0.011,-0.004,-0.012,19.161,-106,-22.2,868.1,87
2025-11-05T11:37:00.000Z,0.012,-0.004,-0.012,19.172,-105,-23.0,868.1,88
2025-11-05T11:40:00.000Z,0.008,-0.004,-0.008,19.201,-104,-23.5,868.3,90
2025-11-05T11:44:00.000Z,0.011,-0.003,-0.008,19.212,-106,-23.2,868.3,93
2025-11-05T11:59:00.000Z,0.012,-0.0,-0.012,19.288,-106,-20.8,868.1,104
2025-11-05T12:00:00.000Z,0.011,0.0,-0.012,19.293,-106,-21.2,867.3,105
2025-11-05T12:05:00.000Z,0.009,-0.001,-0.011,19.312,-106,-20.2,867.7,108
2025-11-05T12:07:00.000Z,0.007,-0.001,-0.008,19.315,-106,-22.0,868.3,110
2025-11-05T12:14:00.000Z,0.012,0.002,-0.01,19.321,-106,-20.0,867.5,115
2025-11-05T12:18:59.000Z,0.01,-0.001,-0.009,19.333,-106,-20.0,867.7,119
2025-11-05T12:20:59.000Z,0.009,-0.003,-0.008,19.337,-106,-21.8,867.1,120
2025-11-05T12:21:59.000Z,0.009,-0.002,-0.008,19.341,-106,-24.0,868.5,121
2025-11-05T12:23:59.000Z,0.012,-0.002,-0.011,19.342,-106,-22.5,868.1,122
2025-11-05T12:24:59.000Z,0.012,-0.002,-0.009,19.333,-106,-22.5,867.5,123
2025-11-05T12:27:59.000Z,0.011,-0.0,-0.009,19.313,-106,-22.5,868.5,125
2025-11-05T12:37:59.000Z,0.009,-0.002,-0.009,19.363,-102,-19.5,867.7,132
2025-11-05T12:38:59.000Z,0.01,-0.001,-0.01,19.354,-102,-19.2,868.3,133
2025-11-05T12:39:59.000Z,0.009,-0.002,-0.008,19.348,-102,-18.5,868.5,134
2025-11-05T12:40:59.000Z,0.008,-0.001,-0.007,19.346,-106,-14.2,867.7,135
2025-11-05T12:42:59.000Z,0.011,-0.002,-0.009,19.353,-106,-15.2,867.1,136
2025-11-05T12:43:59.000Z,0.011,-0.004,-0.008,19.36,-105,-18.0,868.5,137
2025-11-05T12:45:59.000Z,0.01,-0.001,-0.008,19.372,-106,-13.5,868.1,138
2025-11-05T12:46:59.000Z,0.01,-0.002,-0.008,19.373,-106,-13.8,867.1,139
2025-11-05T12:48:59.000Z,0.012,-0.004,-0.01,19.381,-106,-13.2,867.7,140
2025-11-05T12:49:59.000Z,0.01,-0.004,-0.01,19.383,-106,-13.2,868.3,141
2025-11-05T12:50:59.000Z,0.01,-0.002,-0.012,19.384,-105,-14.2,868.3,142
2025-11-05T12:51:59.000Z,0.009,-0.003,-0.011,19.383,-105,-15.2,867.5,143
2025-11-05T12:53:59.000Z,0.007,-0.002,-0.009,19.39,-105,-15.5,868.5,144
2025-11-05T12:54:59.000Z,0.009,-0.001,-0.011,19.394,-105,-12.8,867.7,145
2025-11-05T12:56:59.000Z,0.009,-0.002,-0.01,19.396,-105,-15.0,868.1,146
2025-11-05T12:57:59.000Z,0.009,-0.002,-0.011,19.394,-105,-14.8,867.1,147
2025-11-05T12:59:59.000Z,0.008,-0.004,-0.012,19.389,-106,-14.0,867.7,148
2025-11-05T13:00:59.000Z,0.011,-0.005,-0.014,19.386,-105,-15.8,868.3,149
2025-11-05T13:01:59.000Z,0.01,-0.002,-0.016,19.383,-105,-15.2,868.5,150
2025-11-05T13:02:59.000Z,0.01,-0.002,-0.014,19.382,-106,-15.0,867.1,151
2025-11-05T13:04:59.000Z,0.012,-0.002,-0.012,19.38,-109,-16.0,867.1,152
2025-11-05T13:05:59.000Z,0.013,-0.003,-0.012,19.378,-105,-16.0,868.1,153
2025-11-05T13:07:59.000Z,0.011,-0.005,-0.007,19.376,-105,-15.0,868.3,154
2025-11-05T13:08:59.000Z,0.008,-0.004,-0.007,19.373,-105,-14.8,867.7,155
2025-11-05T13:10:59.000Z,0.009,-0.003,-0.006,19.372,-106,-17.5,867.9,156
2025-11-05T13:11:59.000Z,0.01,-0.002,-0.008,19.37,-104,-15.0,868.3,157
2025-11-05T13:12:59.000Z,0.009,-0.003,-0.009,19.371,-105,-15.5,868.3,158
2025-11-05T13:13:59.000Z,0.01,-0.002,-0.01,19.371,-105,-15.8,867.3,159
2025-11-05T13:15:59.000Z,0.009,-0.003,-0.011,19.37,-105,-15.0,868.5,160
2025-11-05T13:16:59.000Z,0.01,-0.004,-0.009,19.367,-106,-15.5,867.5,161
2025-11-05T13:18:59.000Z,0.011,-0.004,-0.012,19.366,-105,-15.0,868.3,162
2025-11-05T13:19:59.000Z,0.008,-0.005,-0.01,19.366,-104,-13.2,867.3,163
2025-11-05T13:21:59.000Z,0.009,-0.005,-0.009,19.368,-105,-12.8,867.7,164
2025-11-05T13:22:59.000Z,0.009,-0.004,-0.01,19.367,-103,-15.8,868.5,165
2025-11-05T13:23:59.000Z,0.008,-0.004,-0.009,19.366,-106,-14.8,868.1,166
2025-11-05T13:24:59.000Z,0.011,-0.005,-0.01,19.367,-105,-14.2,867.3,167
2025-11-05T13:26:59.000Z,0.012,-0.006,-0.009,19.374,-104,-16.2,868.5,168
2025-11-05T13:27:59.000Z,0.012,-0.006,-0.007,19.375,-105,-13.8,867.7,169
2025-11-05T13:29:59.000Z,0.012,-0.005,-0.01,19.374,-105,-13.2,868.3,170
2025-11-05T13:30:59.000Z,0.013,-0.006,-0.008,19.375,-105,-13.8,867.5,171
2025-11-05T13:32:59.000Z,0.013,-0.005,-0.01,19.381,-106,-13.0,867.9,172
2025-11-05T13:33:59.000Z,0.014,-0.003,-0.013,19.381,-105,-13.5,868.3,173
2025-11-05T13:34:59.000Z,0.012,-0.003,-0.011,19.381,-105,-12.5,868.5,174
2025-11-05T13:35:59.000Z,0.012,-0.003,-0.011,19.381,-104,-16.2,867.9,175
2025-11-05T13:37:59.000Z,0.011,-0.003,-0.013,19.382,-105,-13.2,868.5,176
2025-11-05T13:38:59.000Z,0.01,-0.001,-0.014,19.382,-106,-14.0,867.7,177
2025-11-05T13:40:59.000Z,0.009,-0.001,-0.013,19.382,-105,-14.5,868.1,178
2025-11-05T13:41:59.000Z,0.011,-0.002,-0.013,19.382,-105,-13.8,867.5,179
2025-11-05T13:43:59.000Z,0.009,-0.003,-0.012,19.383,-106,-12.8,867.9,180
2025-11-05T13:44:59.000Z,0.01,-0.004,-0.011,19.382,-105,-13.8,868.5,181
2025-11-05T13:45:59.000Z,0.009,-0.004,-0.01,19.387,-106,-13.8,868.1,182
2025-11-05T13:46:59.000Z,0.006,-0.003,-0.01,19.387,-105,-13.5,867.5,183
2025-11-05T13:48:59.000Z,0.011,-0.003,-0.013,19.393,-106,-15.0,867.1,184
2025-11-05T13:49:59.000Z,0.01,-0.003,-0.013,19.396,-102,-15.0,868.3,185
2025-11-05T13:51:59.000Z,0.007,-0.001,-0.01,19.398,-105,-14.8,868.3,186
2025-11-05T13:52:59.000Z,0.009,-0.002,-0.011,19.4,-106,-14.0,867.1,187
2025-11-05T13:54:59.000Z,0.012,-0.005,-0.011,19.404,-106,-15.0,867.9,188
2025-11-05T13:55:59.000Z,0.011,-0.003,-0.012,19.404,-105,-16.0,868.1,189
2025-11-05T13:56:59.000Z,0.009,-0.003,-0.009,19.402,-105,-15.8,868.1,190
2025-11-05T13:57:59.000Z,0.008,-0.003,-0.009,19.406,-106,-14.2,867.1,191
2025-11-05T13:59:59.000Z,0.008,-0.003,-0.009,19.401,-106,-14.2,867.1,192
2025-11-05T14:00:59.000Z,0.007,-0.004,-0.008,19.404,-105,-16.2,868.3,193
2025-11-05T14:02:59.000Z,0.008,-0.002,-0.007,19.408,-104,-15.2,868.3,194
2025-11-05T14:03:59.000Z,0.008,-0.001,-0.007,19.412,-106,-15.0,867.7,195
2025-11-05T14:05:58.000Z,0.007,-0.002,-0.008,19.417,-106,-14.2,867.7,196
2025-11-05T14:06:58.000Z,0.007,-0.001,-0.009,19.421,-105,-15.5,868.3,197
2025-11-05T14:07:58.000Z,0.008,-0.001,-0.011,19.428,-106,-16.2,868.1,198
2025-11-05T14:08:58.000Z,0.01,-0.001,-0.01,19.431,-106,-16.2,867.1,199
2025-11-05T14:10:58.000Z,0.009,-0.0,-0.01,19.409,-103,-19.8,867.1,200
2025-11-05T14:11:58.000Z,0.009,-0.002,-0.011,19.394,-103,-16.8,868.5,201
2025-11-05T14:13:58.000Z,0.009,-0.002,-0.01,19.392,-103,-17.2,868.1,202
2025-11-05T14:14:58.000Z,0.008,-0.001,-0.01,19.393,-103,-16.5,867.1,203
2025-11-05T14:15:58.000Z,0.009,-0.003,-0.012,19.4,-103,-15.8,868.3,204
2025-11-05T14:16:58.000Z,0.008,-0.003,-0.011,19.406,-103,-15.5,867.9,205
